x,y,z
114.914356,22.920358,787.698668
114.914382,22.920267,790.593781
114.914479,22.920242,795.961015
114.914494,22.920149,798.781753
114.914566,22.920083,801.081088
114.914608,22.920001,805.901713
114.91466,22.91992,809.868129
114.914657,22.919826,815.195291
114.914712,22.919752,819.915618
114.914751,22.919666,830.15589
114.914728,22.919571,835.47315
114.914797,22.919506,839.626238
114.914846,22.919425,842.230814
114.91489,22.919344,840.944323
114.914894,22.919253,842.84818
114.914869,22.919164,841.961828
114.914849,22.919071,844.875866
114.914811,22.918978,846.0527
114.914884,22.918906,847.476878
114.91496,22.918833,849.47461
114.91501,22.918738,848.741042
114.915034,22.918645,848.76987
114.91508,22.918557,846.145297
114.915134,22.918472,844.219549
114.915159,22.918383,846.078693
114.915178,22.918292,843.981409
114.915196,22.918199,841.872705
114.91527,22.918122,842.378612
114.915361,22.918062,842.837205
114.91544,22.918004,843.210705
114.915495,22.917929,843.284925
114.915567,22.917859,842.849915
114.915634,22.917786,843.406278
114.915619,22.917685,842.677235
114.915676,22.917608,842.627357
114.915761,22.917556,842.553802
114.915848,22.917507,844.254314
114.915933,22.917459,846.006799
114.915993,22.917385,847.180608
114.916016,22.917297,848.435552
114.91604,22.917203,851.428487
114.916003,22.917118,852.118891
114.915956,22.917034,851.901839
114.915907,22.916954,853.784561
114.915836,22.916887,853.069812
114.915818,22.916795,851.958742
114.915822,22.916702,852.193111
114.915866,22.916617,853.173618
114.915943,22.916675,857.002891
114.916015,22.916739,859.292751
114.91611,22.916783,861.558478
114.916211,22.916814,865.892355
114.91631,22.916813,866.899669
114.916326,22.916715,868.780669
114.916334,22.916619,869.592107
114.916367,22.916525,869.475276
114.916359,22.916621,869.403936
114.916351,22.91672,868.52105
114.916357,22.916811,866.84307
114.916351,22.916903,865.671411
114.916393,22.916992,865.775313
114.916441,22.917075,866.703996
114.91652,22.917141,868.891687
114.916588,22.917208,870.071247
114.916687,22.917218,871.980056
114.916774,22.917166,876.119627
114.916871,22.917128,879.421207
114.916968,22.917118,881.74754
114.917047,22.917063,884.568154
114.917133,22.917018,887.501584
114.917233,22.916999,892.130576
114.917329,22.916967,895.085999
114.917428,22.916946,897.243691
114.91751,22.916892,898.029995
114.917605,22.91687,899.600885
114.917668,22.916794,900.254916
114.917705,22.916705,901.854601
114.91776,22.916629,903.132247
114.917859,22.916636,904.533188
114.917956,22.91666,907.461304
114.918054,22.916664,910.686118
114.918134,22.916611,914.457297
114.918226,22.91657,918.065067
114.918325,22.916553,920.999837
114.918428,22.916569,923.481978
114.918523,22.916588,925.708894
114.918616,22.916552,929.542846
114.918708,22.916584,932.491437
114.918805,22.916574,936.688339
114.918862,22.916648,940.34152
114.91896,22.916679,942.905332
114.919042,22.916621,944.444283
114.91914,22.916613,945.555429
114.919239,22.916628,949.915373
114.919263,22.916717,953.201827
114.919352,22.916763,956.735671
114.919454,22.916747,957.516337
114.919557,22.916747,956.966343
114.919655,22.916781,960.400504
114.919751,22.916764,964.30193
114.919847,22.916775,969.076466
114.919945,22.9168,973.103264
114.920044,22.916826,977.939101
114.920142,22.91683,983.511132
114.92023,22.91687,985.614942
114.920293,22.916943,989.927945
114.92034,22.917026,1000.636775
114.920403,22.9171,1001.458681
114.920416,22.917196,1003.380771
114.920516,22.917172,1009.126584
114.920601,22.917119,1012.942555
114.92069,22.917083,1015.39898
114.920787,22.917113,1020.978414
114.920828,22.9172,1026.177089
114.92092,22.917238,1033.706715
114.920948,22.917332,1036.693301
114.920993,22.917413,1042.909425
114.920998,22.917506,1046.558578
114.921,22.917605,1049.46528
114.92097,22.917699,1052.955274
114.920945,22.917787,1055.591476
114.920951,22.917878,1059.880157
114.921034,22.917929,1064.67331
114.921103,22.917996,1067.950062
114.921173,22.91806,1071.331092
114.92124,22.918128,1074.099971
114.921317,22.918187,1075.219316
114.921371,22.918267,1078.785887
114.921448,22.918328,1083.155702
114.921439,22.918237,1087.002369
114.921459,22.918147,1090.125894
114.921556,22.918148,1101.472354
114.921609,22.918229,1104.823562
114.921671,22.918302,1110.052536
114.921757,22.918346,1114.278791
114.921862,22.918364,1118.548215
114.921962,22.918372,1121.105883
114.922051,22.918416,1124.074471
114.92211,22.91849,1126.327117
114.922134,22.918578,1128.513662
114.922149,22.91867,1131.485446
114.922184,22.918759,1132.892654
114.922263,22.918818,1135.610524
114.922329,22.918889,1137.982974
114.922348,22.918986,1140.058321
114.922423,22.919048,1141.837072
114.922496,22.919114,1141.289653
114.922454,22.919199,1141.413569
114.922491,22.919288,1143.35726
114.922553,22.91936,1144.268476
114.9226,22.919443,1144.982783
114.92256,22.919527,1148.755316
114.922618,22.919608,1151.39136
114.922718,22.919627,1151.400325
114.922816,22.919643,1151.757773
114.922907,22.919684,1153.275088
114.922975,22.919755,1154.899277
114.922893,22.91981,1156.345949
114.922902,22.919905,1159.185101
114.922945,22.91999,1161.308309
114.922993,22.920077,1163.016019
114.923031,22.920165,1163.718784
114.923073,22.920254,1164.000122
114.923111,22.920339,1164.454662
114.923147,22.920433,1165.137632
114.923208,22.92051,1165.884394
114.923277,22.92058,1166.224499
114.923347,22.920647,1167.241011
114.923435,22.920701,1167.859701
114.923535,22.920734,1168.535403
114.923602,22.920805,1169.008731
114.923641,22.920893,1169.562833
114.923657,22.920983,1169.837889
114.923707,22.921069,1169.950709
114.923757,22.921151,1170.273307
114.92381,22.921237,1171.257194
114.923848,22.921329,1171.38386
114.923849,22.921421,1171.096687
114.923821,22.921515,1171.632514
114.923784,22.921603,1171.916581
114.923789,22.921696,1171.982053
114.923811,22.921791,1172.018317
114.923834,22.921884,1172.123566
114.923854,22.921975,1172.859334
114.92389,22.922063,1173.625875
114.923903,22.922156,1174.496991
114.923922,22.922249,1175.865047
114.923969,22.922333,1177.658562
